Name,RealEstate,Bonds,Stocks,Trades
5/11/00,0.544,0.126480169,1.810246024,0
5/12/00,0.210,-0.399122057,0.936063905,0
5/15/00,0.345,0.275594816,2.212274456,0
5/16/00,0.369,0.225279125,0.943184706,0
5/17/00,-0.643,-0.258130704,-1.234970088,0
5/18/00,-0.389,-0.426887777,-0.726658471,0
5/19/00,-0.231,0.260145908,-2.101792187,0
5/22/00,-0.285,0.414489759,-0.442753195,0
5/23/00,-0.169,-0.040876592,-1.916282721,0
5/24/00,-0.420,-0.1067398,1.838394051,0
5/25/00,-0.809,0.566262392,-1.250355508,0
5/26/00,0.140,0.336857051,-0.24559217,0
5/29/00,0.000,0,0,1
5/30/00,0.419,-0.252204594,3.234154689,0
5/31/00,0.181,0.497111632,-0.111360273,0
